uniprotcode,family_name_cache,species_name_cache,membrane_name_cache,species_id,family_id,superfamily_id,classtype_id,type_id,sequence_length,sequence_length_bin
CYC_HORSE,Cytochrome c,Equus caballus,Mitochon. inner,s142,f92,sf71,c4,t2,105,100-300
CYC2_BLAVI,Cytochrome c,Rhodopseudomonas viridis,Gram-neg. inner,s34,f92,sf71,c4,t2,127,100-300
O52685_SHEPU,Cytochrome c,Shewanella putrefaciens,Gram-neg. inner,s201,f92,sf71,c4,t2,99,0-100
CY551_STUST,Cytochrome c,Pseudomonas stutzeri,Gram-neg. inner,s190,f92,sf71,c4,t2,104,100-300
CY551_PSEAE,Cytochrome c,Pseudomonas aeruginosa,Gram-neg. inner,s28,f92,sf71,c4,t2,104,100-300
CYC4_STUST,Cytochrome c,Pseudomonas stutzeri,Gram-neg. inner,s190,f92,sf71,c4,t2,210,100-300
ANXA1_PIG,Annexins,Sus scrofa,Vesicle,s56,f54,sf41,c4,t2,346,300-500
ANXA2_HUMAN,Annexins,Homo sapiens,Eykaryo. plasma,s14,f54,sf41,c4,t2,339,300-500
ANXA3_HUMAN,Annexins,Homo sapiens,Eykaryo. plasma,s14,f54,sf41,c4,t2,323,300-500
ANXA4_BOVIN,Annexins,Bos taurus,Eykaryo. plasma,s6,f54,sf41,c4,t2,319,300-500
ANXA5_HUMAN,Annexins,Homo sapiens,Eykaryo. plasma,s14,f54,sf41,c4,t2,320,300-500
ANXA5_CHICK,Annexins,Gallus gallus,Eykaryo. plasma,s11,f54,sf41,c4,t2,321,300-500
ANXA6_HUMAN,Annexins,Homo sapiens,Eykaryo. plasma,s14,f54,sf41,c4,t2,673,500-1000
ANXA8_HUMAN,Annexins,Homo sapiens,Eykaryo. plasma,s14,f54,sf41,c4,t2,327,300-500
ANX12_HYDVU,Annexins,Hydra vulgaris,Eykaryo. plasma,s159,f54,sf41,c4,t2,316,300-500
Q42657_CAPAN,Annexins,Capsicum annuum,Eykaryo. plasma,s111,f54,sf41,c4,t2,314,300-500
ANX1_GOSHI,Annexins,Gossypium hirsutum,Eykaryo. plasma,s147,f54,sf41,c4,t2,315,300-500
CP2C5_RABIT,Cytochrome P450,Oryctolagus cuniculus,Endoplasm. reticulum,s25,f52,sf39,c11,t1,487,300-500
CP2B4_RABIT,Cytochrome P450,Oryctolagus cuniculus,Endoplasm. reticulum,s25,f52,sf39,c11,t1,491,300-500
CP2C8_HUMAN,Cytochrome P450,Homo sapiens,Endoplasm. reticulum,s14,f52,sf39,c11,t1,490,300-500
CP2C9_HUMAN,Cytochrome P450,Homo sapiens,Endoplasm. reticulum,s14,f52,sf39,c11,t1,490,300-500
CP3A4_HUMAN,Cytochrome P450,Homo sapiens,Endoplasm. reticulum,s14,f52,sf39,c11,t1,503,500-1000
CP2A6_HUMAN,Cytochrome P450,Homo sapiens,Endoplasm. reticulum,s14,f52,sf39,c11,t1,494,300-500
LOX15_RABIT,Lipoxygenases,Oryctolagus cuniculus,Eykaryo. plasma,s25,f104,sf80,c4,t2,663,500-1000
CEL_HUMAN,Acetylcholinesterase-like,Homo sapiens,Secreted,s14,f178,sf127,c5,t2,753,500-1000
PA2A1_NAJAT,Vertebrate secretory phospholipase A2,Naja atra,Secreted,s53,f107,sf82,c4,t2,146,100-300
PA2A2_OPHHA,Vertebrate secretory phospholipase A2,Ophiophagus hannah,Secreted,s179,f107,sf82,c4,t2,146,100-300
PA2A_CROAT,Vertebrate secretory phospholipase A2,Crotalus atrox,Secreted,s127,f107,sf82,c4,t2,138,100-300
PA2A_GLOHA,Vertebrate secretory phospholipase A2,Gloydius halys,Secreted,s77,f107,sf82,c4,t2,124,100-300
PA2BB_GLOHA,Vertebrate secretory phospholipase A2,Gloydius halys,Secreted,s77,f107,sf82,c4,t2,138,100-300
PA2N_GLOHA,Vertebrate secretory phospholipase A2,Gloydius halys,Secreted,s77,f107,sf82,c4,t2,122,100-300
PA2B1_AGKPI,Vertebrate secretory phospholipase A2,Agkistridon piscivorus,Secreted,s74,f107,sf82,c4,t2,123,100-300
PA2H1_AGKCL,Vertebrate secretory phospholipase A2,Agkistrodon contortrix laticinctus,Secreted,s76,f107,sf82,c4,t2,137,100-300
PA2B_NOTSC,Vertebrate secretory phospholipase A2,Notechis scutatus scutatus,Secreted,s344,f107,sf82,c4,t2,119,100-300
PA2B_DABRR,Vertebrate secretory phospholipase A2,Daboia russelli,Secreted,s128,f107,sf82,c4,t2,121,100-300
PA2A1_ECHCA,Vertebrate secretory phospholipase A2,Echis carinatus,Secreted,s135,f107,sf82,c4,t2,136,100-300
PA2B5_BUNCE,Vertebrate secretory phospholipase A2,Bungarus caeruleus,Secreted,s100,f107,sf82,c4,t2,137,100-300
PA2B3_BUNCE,Vertebrate secretory phospholipase A2,Bungarus caeruleus,Secreted,s100,f107,sf82,c4,t2,137,100-300
PA2A1_BUNCE,Vertebrate secretory phospholipase A2,Bungarus caeruleus,Secreted,s100,f107,sf82,c4,t2,137,100-300
PA2H_DEIAC,Vertebrate secretory phospholipase A2,Agkistrodon acutus,Secreted,s75,f107,sf82,c4,t2,138,100-300
PA2A_BOTJR,Vertebrate secretory phospholipase A2,Bothrops jararacussu,Secreted,s95,f107,sf82,c4,t2,138,100-300
PA2H2_CERGO,Vertebrate secretory phospholipase A2,Bothrops godmani,Secreted,s94,f107,sf82,c4,t2,121,100-300
PA2H3_BOTPI,Vertebrate secretory phospholipase A2,Bothrops pirajai,Secreted,s97,f107,sf82,c4,t2,120,100-300
PA2H2_BOTMO,Vertebrate secretory phospholipase A2,Bothrops moojeni,Secreted,s96,f107,sf82,c4,t2,122,100-300
PA2B8_DABRR,Vertebrate secretory phospholipase A2,Daboia russelli,Secreted,s128,f107,sf82,c4,t2,121,100-300
PA2GA_HUMAN,Vertebrate secretory phospholipase A2,Homo sapiens,Secreted,s14,f107,sf82,c4,t2,144,100-300
PA21B_BOVIN,Vertebrate secretory phospholipase A2,Bos taurus,Secreted,s6,f107,sf82,c4,t2,145,100-300
PA21B_PIG,Vertebrate secretory phospholipase A2,Sus scrofa,Secreted,s56,f107,sf82,c4,t2,146,100-300
PA2GX_HUMAN,Vertebrate secretory phospholipase A2,Homo sapiens,Secreted,s14,f107,sf82,c4,t2,165,100-300
FUS_PIV5,Juxtamembrane peptides of viral envelope glycoproteins,Simian virus 5,Viral,s202,f439,sf277,c7,t3,529,500-1000
RET2_RAT,Fatty acid binding protein-like (n=10),Rattus norvegicus,Eykaryo. plasma,s54,f137,sf50,c3,t2,134,100-300
LCN5_RAT,"Retinol binding protein-like (n=8,S=12)",Rattus norvegicus,Secreted,s54,f63,sf50,c3,t2,188,100-300
CO8G_HUMAN,"Retinol binding protein-like (n=8,S=12)",Homo sapiens,Secreted,s14,f63,sf50,c3,t2,202,100-300
PTGDS_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Endoplasm. reticulum,s14,f137,sf50,c3,t2,190,100-300
AMCY_PARDE,Plastocyanin/azurin-like,Paracoccus denitrificans,Gram-neg. inner,s27,f123,sf93,c3,t2,131,100-300
AMCY_PARVE,Plastocyanin/azurin-like,Paracoccus versutus,Gram-neg. inner,s214,f123,sf93,c3,t2,132,100-300
PLAS_PHAVU,Plastocyanin/azurin-like,Phaseolus vulgaris,Thylakoid,s184,f123,sf93,c3,t2,99,0-100
PLAS_CHLRE,Plastocyanin/azurin-like,Chlamydomonas reinhardtii,Thylakoid,s7,f123,sf93,c3,t2,145,100-300
PLAS_SYNE7,Plastocyanin/azurin-like,Synechocystis sp.,Thylakoid,s212,f123,sf93,c3,t2,125,100-300
PLAS_PROHO,Plastocyanin/azurin-like,Prochlorothrix hollandica,Thylakoid,s188,f123,sf93,c3,t2,131,100-300
AZUP_METEA,Plastocyanin/azurin-like,Methylorubrum extorquens,Gram-neg. inner,s169,f123,sf93,c3,t2,148,100-300
O82080_SPIOL,Plastocyanin/azurin-like,Spinacia oleracea,Thylakoid,s37,f123,sf93,c3,t2,121,100-300
AZUR1_ALCXX,Plastocyanin/azurin-like,Alcaligenes xylosoxidans,Gram-neg. inner,s79,f123,sf93,c3,t2,129,100-300
AZUR2_METJ,Plastocyanin/azurin-like,Methylomonas sp.,Gram-neg. inner,s170,f123,sf93,c3,t2,129,100-300
KPCE_RAT,C2 domain,Rattus norvegicus,Eykaryo. plasma,s54,f60,sf45,c3,t2,737,500-1000
SYT3_RAT,C2 domain,Rattus norvegicus,Eykaryo. plasma,s54,f60,sf45,c3,t2,588,500-1000
SYT4_HUMAN,C2 domain,Homo sapiens,Eykaryo. plasma,s14,f60,sf45,c3,t2,425,300-500
KPCB_RAT,C2 domain,Rattus norvegicus,Eykaryo. plasma,s54,f60,sf45,c3,t2,671,500-1000
RIMS2_RAT,C2 domain,Rattus norvegicus,Eykaryo. plasma,s54,f60,sf45,c3,t2,1555,1000-2000
AOSL_PLEHO,Lipoxygenases,Plexaura homomalla,Eykaryo. plasma,s187,f104,sf80,c4,t2,1066,1000-2000
G1K3Q0_ACEAT,Microbial and algal rhodopsins,Acetabularia acetabulum,Eykaryo. plasma,s348,f13,sf6,c1,t1,229,100-300
FABPM_LOCMI,Fatty acid binding protein-like (n=10),Locusta migratoria,Eykaryo. plasma,s352,f137,sf50,c3,t2,134,100-300
RET2_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Eykaryo. plasma,s14,f137,sf50,c3,t2,134,100-300
DYN1_HUMAN,Pleckstrin-homology domain,Homo sapiens,Eykaryo. plasma,s14,f62,sf49,c3,t2,864,500-1000
PLEK_HUMAN,Pleckstrin-homology domain,Homo sapiens,Eykaryo. plasma,s14,f62,sf49,c3,t2,350,300-500
DAPP1_HUMAN,Pleckstrin-homology domain,Homo sapiens,Eykaryo. plasma,s14,f62,sf49,c3,t2,280,100-300
PKHA1_HUMAN,Pleckstrin-homology domain,Homo sapiens,Eykaryo. plasma,s14,f62,sf49,c3,t2,404,300-500
AKT1_HUMAN,Pleckstrin-homology domain,Homo sapiens,Eykaryo. plasma,s14,f62,sf49,c3,t2,480,300-500
AKT2_HUMAN,Pleckstrin-homology domain,Homo sapiens,Eykaryo. plasma,s14,f62,sf49,c3,t2,481,300-500
MTMR5_MOUSE,Pleckstrin-homology domain,Mus musculus,Eykaryo. plasma,s52,f62,sf49,c3,t2,1867,1000-2000
TRIO_HUMAN,Pleckstrin-homology domain,Homo sapiens,Eykaryo. plasma,s14,f62,sf49,c3,t2,3097,>2000
PKHA4_HUMAN,Pleckstrin-homology domain,Homo sapiens,Eykaryo. plasma,s14,f62,sf49,c3,t2,779,500-1000
RET4_BOVIN,"Retinol binding protein-like (n=8,S=12)",Bos taurus,Secreted,s6,f63,sf50,c3,t2,183,100-300
RET4_PIG,"Retinol binding protein-like (n=8,S=12)",Sus scrofa,Secreted,s56,f63,sf50,c3,t2,201,100-300
RET4_HUMAN,"Retinol binding protein-like (n=8,S=12)",Homo sapiens,Secreted,s14,f63,sf50,c3,t2,201,100-300
FABPH_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Eykaryo. plasma,s14,f137,sf50,c3,t2,133,100-300
FABPH_BOVIN,Fatty acid binding protein-like (n=10),Bos taurus,Eykaryo. plasma,s6,f137,sf50,c3,t2,133,100-300
FABPI_RAT,Fatty acid binding protein-like (n=10),Rattus norvegicus,Eykaryo. plasma,s54,f137,sf50,c3,t2,132,100-300
FABPI_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Eykaryo. plasma,s14,f137,sf50,c3,t2,132,100-300
FABP7_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Eykaryo. plasma,s14,f137,sf50,c3,t2,132,100-300
FABP5_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Eykaryo. plasma,s14,f137,sf50,c3,t2,135,100-300
FABP4_MOUSE,Fatty acid binding protein-like (n=10),Mus musculus,Eykaryo. plasma,s52,f137,sf50,c3,t2,132,100-300
FABP4_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Eykaryo. plasma,s14,f137,sf50,c3,t2,132,100-300
FABP1_ECHGR,Fatty acid binding protein-like (n=10),Echinococcus granulosus,Eykaryo. plasma,s134,f137,sf50,c3,t2,133,100-300
FABPM_SCHGR,Fatty acid binding protein-like (n=10),Schistocerca gregaria,Eykaryo. plasma,s198,f137,sf50,c3,t2,134,100-300
RABP2_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Nuclear outer,s14,f137,sf50,c3,t2,138,100-300
RABP1_MOUSE,Fatty acid binding protein-like (n=10),Bos taurus,Eykaryo. plasma,s6,f137,sf50,c3,t2,137,100-300
RET1_RAT,Fatty acid binding protein-like (n=10),Rattus norvegicus,Eykaryo. plasma,s54,f137,sf50,c3,t2,135,100-300
Q8UVG6_DANRE,Fatty acid binding protein-like (n=10),Danio rerio,Eykaryo. plasma,s129,f137,sf50,c3,t2,135,100-300
RET5_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Eykaryo. plasma,s14,f137,sf50,c3,t2,135,100-300
RET7_HUMAN,Fatty acid binding protein-like (n=10),Homo sapiens,Eykaryo. plasma,s14,f137,sf50,c3,t2,134,100-300
MYP2_BOVIN,Fatty acid binding protein-like (n=10),Bos taurus,Eykaryo. plasma,s6,f137,sf50,c3,t2,132,100-300
FABP_SCHMA,Fatty acid binding protein-like (n=10),Schistosoma mansoni,Eykaryo. plasma,s199,f137,sf50,c3,t2,133,100-300
CP2D6_HUMAN,Cytochrome P450,Homo sapiens,Endoplasm. reticulum,s14,f52,sf39,c11,t1,497,300-500
POLG_DEN2P,Flavivirus glycoprotein,Dengue virus,Viral,s131,f147,sf109,c11,t1,3388,>2000
KAB2_OLDAF,Cyclotide,Oldenlandia affinis,Secreted,s178,f148,sf112,c3,t2,210,100-300
CYO1_VIOOD,Cyclotide,Viola odorata,Secreted,s221,f148,sf112,c3,t2,30,0-100
VHR1_VIOHE,Cyclotide,Viola hederacea,Secreted,s220,f148,sf112,c3,t2,30,0-100
PALIC_PALCO,Cyclotide,Palicourea condensata,Secreted,s180,f148,sf112,c3,t2,37,0-100
O16O3_CONST,Conotoxin O1,Conus striatus,Secreted,s124,f153,sf112,c3,t2,71,0-100
U6A_CONER,Conotoxin O1,Conus ermineus,Secreted,s120,f153,sf112,c3,t2,32,0-100
O17_CONTE,Conotoxin O1,Conus textile,Secreted,s125,f153,sf112,c3,t2,77,0-100
O16A_CONTE,Conotoxin O1,Conus textile,Secreted,s125,f153,sf112,c3,t2,78,0-100
O16B_CONMR,Conotoxin O1,Conus marmoreus,Secreted,s122,f153,sf112,c3,t2,82,0-100
TX23B_AGEAP,Spider ion channel inhibitory toxins,Agelenopsis aperta,Secreted,s73,f154,sf112,c3,t2,83,0-100
TXMO_HADIN,Spider ion channel inhibitory toxins,Hadronyche infensa,Secreted,s150,f154,sf112,c3,t2,83,0-100
D1A_HADVE,Spider ion channel inhibitory toxins,Hadronyche versuta,Secreted,s438,f154,sf112,c3,t2,42,0-100
TXDT1_ATRRO,Spider ion channel inhibitory toxins,Atrax robustus,Secreted,s86,f154,sf112,c3,t2,42,0-100
TXH1_CYRSC,Spider ion channel inhibitory toxins,Haplopelma hainanum,Secreted,s282,f154,sf112,c3,t2,81,0-100
TXP1_PARSR,Spider ion channel inhibitory toxins,Paraphysa scrofa,Secreted,s181,f154,sf112,c3,t2,29,0-100
TXHN1_GRARO,Spider ion channel inhibitory toxins,Grammostola rosea,Secreted,s283,f154,sf112,c3,t2,85,0-100
VSTX1_GRARO,Spider ion channel inhibitory toxins,Grammostola rosea,Secreted,s283,f154,sf112,c3,t2,63,0-100
SCX2_CENSC,Long-chain scorpion toxins,Centruroides sculpturatus,Secreted,s48,f71,sf58,c6,t2,87,0-100
SCX2_CENNO,Long-chain scorpion toxins,Centruroides noxius,Secreted,s113,f71,sf58,c6,t2,84,0-100
SCM1_MESMA,Long-chain scorpion toxins,Buthus martensii,Secreted,s104,f71,sf58,c6,t2,84,0-100
SCX1_HOTTA,Long-chain scorpion toxins,Hottentotta tamulus,Secreted,s105,f71,sf58,c6,t2,64,0-100
SCX1_TITSE,Long-chain scorpion toxins,Tityus serrulatus,Secreted,s215,f71,sf58,c6,t2,84,0-100
SCX7_MESMA,Long-chain scorpion toxins,Buthus martensii,Secreted,s104,f71,sf58,c6,t2,66,0-100
SCL3_LEIHE,Long-chain scorpion toxins,Leiurus quinquestriatus hebraeus,Secreted,s163,f71,sf58,c6,t2,67,0-100
KAX11_LEIHE,Short-chain scorpion toxins,Leiurus quinquestriatus hebraeus,Secreted,s163,f157,sf58,c6,t2,59,0-100
CTX5A_MESEU,Short-chain scorpion toxins,Buthus eupeus,Secreted,s103,f157,sf58,c6,t2,35,0-100
DEFN_ARCDE,Invertebrate and fungal defensins,Archaeoprepona demophon,Secreted,s84,f72,sf58,c6,t2,44,0-100
SAPE_SARPE,Invertebrate and fungal defensins,Sarcophaga peregrina,Secreted,s197,f72,sf58,c6,t2,94,0-100
DEF1_RAPSA,Plant defensins,Raphanus sativus,Secreted,s193,f158,sf58,c6,t2,80,0-100
DEF1_PEA,Plant defensins,Pisum sativum,Secreted,s185,f158,sf58,c6,t2,46,0-100
3SA1_NAJPA,Snake venom toxins,Naja pallida,Secreted,s228,f66,sf53,c3,t2,60,0-100
3SA4_NAJMO,Snake venom toxins,Naja mossambica,Secreted,s172,f66,sf53,c3,t2,60,0-100
3SAN_NAJAT,Snake venom toxins,Naja atra,Secreted,s53,f66,sf53,c3,t2,81,0-100
3SA2_NAJOX,Snake venom toxins,Naja oxiana,Secreted,s173,f66,sf53,c3,t2,60,0-100
3SA3_NAJAT,Snake venom toxins,Naja atra,Secreted,s53,f66,sf53,c3,t2,81,0-100
3L22_OPHHA,Snake venom toxins,Ophiophagus hannah,Secreted,s179,f66,sf53,c3,t2,73,0-100
DEFB1_HUMAN,Vertebrate defensin,Homo sapiens,Secreted,s14,f67,sf54,c3,t2,68,0-100
D103A_HUMAN,Vertebrate defensin,Homo sapiens,Secreted,s14,f67,sf54,c3,t2,67,0-100
DEFB7_MOUSE,Vertebrate defensin,Mus musculus,Secreted,s52,f67,sf54,c3,t2,71,0-100
DEFB8_MOUSE,Vertebrate defensin,Mus musculus,Secreted,s52,f67,sf54,c3,t2,60,0-100
DFB12_BOVIN,Vertebrate defensin,Bos taurus,Secreted,s6,f67,sf54,c3,t2,38,0-100
SPHE2_APTPA,Vertebrate defensin,Aptenodytes patagonicus,Secreted,s83,f67,sf54,c3,t2,38,0-100
RK1_RABIT,Vertebrate defensin,Oryctolagus cuniculus,Secreted,s25,f67,sf54,c3,t2,32,0-100
GTR3_HUMAN,Sugar porter family,Homo sapiens,Eykaryo. plasma,s14,f656,sf15,c1,t1,496,300-500
AQPM_ARCFU,Major intrinsic protein (MIP) family,Archaeoglobus fulgidus,Archaebac.,s58,f15,sf7,c1,t1,246,100-300
TTPA_HUMAN,CRAL/TRIO domain,Homo sapiens,Golgi,s14,f172,sf121,c5,t2,278,100-300
NGAL_HUMAN,"Retinol binding protein-like (n=8,S=12)",Homo sapiens,Secreted,s14,f63,sf50,c3,t2,198,100-300
ACES_TETCF,Acetylcholinesterase-like,Torpedo californica,Eykaryo. plasma,s216,f178,sf127,c5,t2,586,500-1000
ACES_MOUSE,Acetylcholinesterase-like,Mus musculus,Eykaryo. plasma,s52,f178,sf127,c5,t2,614,500-1000
CEL_BOVIN,Acetylcholinesterase-like,Bos taurus,Secreted,s6,f178,sf127,c5,t2,597,500-1000
LIPB_PSEA2,Fungal lipases,Candida antarctica,Secreted,s107,f183,sf127,c5,t2,342,300-500
LIP_RHIMI,Fungal lipases,Rhizomucor miehei,Secreted,s195,f183,sf127,c5,t2,363,300-500
LIP_THELA,Fungal lipases,Thermomyces lanuginosus,Secreted,s158,f183,sf127,c5,t2,291,100-300
LIP_RHINI,Fungal lipases,Rhizopus niveus,Secreted,s196,f183,sf127,c5,t2,392,300-500
LIP1_DIURU,Fungal lipases,Candida rugosa,Secreted,s109,f183,sf127,c5,t2,549,500-1000
LIP2_DIURU,Fungal lipases,Candida rugosa,Secreted,s109,f183,sf127,c5,t2,548,500-1000
LIP3_DIURU,Fungal lipases,Diutina rugosa,Secreted,s108,f183,sf127,c5,t2,549,500-1000
LIP_BURCE,Bacterial lipase,Burkholderia cepacia,Secreted,s102,f184,sf127,c5,t2,364,300-500
LIP_PSEAE,Bacterial lipase,Pseudomonas aeruginosa,Secreted,s28,f184,sf127,c5,t2,311,300-500
O66015_GEOSE,Bacterial lipase,Bacillus stearothermophilus,Secreted,s88,f184,sf127,c5,t2,417,300-500
Q9L6D3_GEOSE,Bacterial lipase,Bacillus stearothermophilus,Secreted,s88,f184,sf127,c5,t2,417,300-500
CUTI1_FUSVN,Cutinase-like,Fusarium vanettenii,Secreted,s145,f186,sf127,c5,t2,230,100-300
SCP2_RABIT,Sterol carrier protein,Oryctolagus cuniculus,Eykaryo. plasma,s25,f194,sf135,c6,t2,547,500-1000
STAR4_MOUSE,STAR domain,Mus musculus,Eykaryo. plasma,s52,f197,sf138,c6,t2,224,100-300
PPCT_HUMAN,STAR domain,Homo sapiens,Eykaryo. plasma,s14,f197,sf138,c6,t2,214,100-300
CA1A_CONPE,Alpha-conotoxin-like,Conus pennaceus,Secreted,s123,f212,sf148,c7,t3,16,0-100
CA1B_CONPE,Alpha-conotoxin-like,Conus pennaceus,Secreted,s123,f212,sf148,c7,t3,61,0-100
CA12_CONMA,Alpha-conotoxin-like,Conus magus,Secreted,s121,f212,sf148,c7,t3,68,0-100
CA1B_CONAL,Alpha-conotoxin-like,Conus aulicus,Secreted,s119,f212,sf148,c7,t3,58,0-100
PLE1_PSEAM,Pleurocidin,Pseudopleuronectes americanus,Secreted,s191,f215,sf142,c7,t3,68,0-100
P3C2A_MOUSE,C2 domain,Mus musculus,Eykaryo. plasma,s52,f60,sf45,c3,t2,1686,1000-2000
