protein_name,subcellular_location,cellular_location,sequence_length
P43144,Cell.membrane,M,479
Q39203,Cell.membrane,M,797
P30302,Cell.membrane,M,285
D3W0D1,Cell.membrane,M,207
O64759,Cell.membrane,M,569
Q03206,Cell.membrane,M,191
O04529,Cell.membrane,M,378
Q6R6I6,Cell.membrane,M,758
O80809,Cell.membrane,M,720
Q9LPT1,Cell.membrane,M,686
Q76JU9,Cell.membrane,M,300
O76689,Cell.membrane,M,714
A6NC51,Cell.membrane,M,233
Q9BXA5,Cell.membrane,M,334
Q92637,Cell.membrane,M,280
P23229,Cell.membrane,M,1130
Q00959,Cell.membrane,M,1464
P15260,Cell.membrane,M,489
P15261,Cell.membrane,M,477
Q8JZM4,Cell.membrane,M,737
Q40687,Cell.membrane,M,380
Q86TG1,Cell.membrane,M,271
Q9R155,Cell.membrane,M,780
P81909,Cell.membrane,M,397
O61967,Cell.membrane,M,699
Q9Z138,Cell.membrane,M,944
P79960,Cell.membrane,M,362
P53835,Cell.membrane,M,661
Q8K1P8,Cell.membrane,M,545
Q8N292,Cell.membrane,M,157
Q8BLA8,Cell.membrane,M,1125
P50571,Cell.membrane,M,474
P93604,Cell.membrane,M,636
P13385,Cell.membrane,M,188
P12314,Cell.membrane,M,374
Q05777,Cell.membrane,M,254
Q9M2Z1,Cell.membrane,M,1002
O80725,Cell.membrane,M,1286
Q9C9Y6,Cell.membrane,M,140
Q9NYG8,Cell.membrane,M,393
Q7XBS0,Cell.membrane,M,721
Q12333,Cell.membrane,M,620
Q8LFH5,Cell.membrane,M,239
G5EGL9,Cell.membrane,M,589
Q9BXP2,Cell.membrane,M,914
Q56WM6,Cell.membrane,M,576
Q7TS55,Cell.membrane,M,173
Q7Z020,Cell.membrane,M,1197
Q9Z0M6,Cell.membrane,M,818
Q32M45,Cell.membrane,M,955
O01811,Cell.membrane,M,377
O00206,Cell.membrane,M,839
Q6UX01,Cell.membrane,M,489
Q24247,Cell.membrane,M,1146
P32329,Cell.membrane,M,569
Q9WTY2,Cell.membrane,M,341
Q9JJV9,Cell.membrane,M,2019
Q2M3C6,Cell.membrane,M,531
Q91X52,Cell.membrane,M,244
Q9TTY5,Cell.membrane,M,342
Q5RKR3,Cell.membrane,M,745
Q9SZW4,Cell.membrane,M,951
C0LGW6,Cell.membrane,M,966
Q9HBX8,Cell.membrane,M,967
Q9HBX9,Cell.membrane,M,757
O08892,Cell.membrane,M,389
P27448,Cell.membrane,M,753
Q96QD8,Cell.membrane,M,506
Q8VHW2,Cell.membrane,M,423
Q9SH14,Cell.membrane,M,120
Q12891,Cell.membrane,M,473
Q96EP9,Cell.membrane,M,437
Q9SW27,Cell.membrane,M,118
P15390,Cell.membrane,M,1840
Q8VHW8,Cell.membrane,M,275
Q96247,Cell.membrane,M,485
Q9QUR8,Cell.membrane,M,664
Q9DCP2,Cell.membrane,M,505
Q9HAB3,Cell.membrane,M,445
Q13336,Cell.membrane,M,389
P51905,Cell.membrane,M,622
P54760,Cell.membrane,M,987
P24348,Cell.membrane,M,1323
Q84T94,Cell.membrane,M,639
Q12207,Cell.membrane,M,173
P32037,Cell.membrane,M,493
O88788,Cell.membrane,M,474
P46940,Cell.membrane,M,1657
Q8W4J9,Cell.membrane,M,908
O54698,Cell.membrane,M,457
Q12809,Cell.membrane,M,1159
Q6Z2T3,Cell.membrane,M,298
Q13237,Cell.membrane,M,762
Q9ZQI2,Cell.membrane,M,221
Q3U9N9,Cell.membrane,M,512
P13637,Cell.membrane,M,1013
Q9ZR72,Cell.membrane,M,1286
O35173,Cell.membrane,M,497
O61491,Cell.membrane,M,426
Q8IWT6,Cell.membrane,M,810
P41144,Cell.membrane,M,380
P11584,Cell.membrane,M,846
P08219,Cell.membrane,M,456
P04264,Cell.membrane,M,644
P41143,Cell.membrane,M,372
O88407,Cell.membrane,M,316
Q9LV40,Cell.membrane,M,523
Q4FZU9,Cell.membrane,M,463
Q96CW9,Cell.membrane,M,530
P78410,Cell.membrane,M,334
P0DMS1,Cell.membrane,M,947
Q9SCZ4,Cell.membrane,M,895
O15552,Cell.membrane,M,330
P40169,Cell.membrane,M,301
Q9M9T4,Cell.membrane,M,442
O15554,Cell.membrane,M,427
Q3TWN3,Cell.membrane,M,875
Q28362,Cell.membrane,M,839
A6NFA1,Cell.membrane,M,517
Q9JKA7,Cell.membrane,M,1198
P21917,Cell.membrane,M,467
Q96E93,Cell.membrane,M,195
Q38873,Cell.membrane,M,535
Q38872,Cell.membrane,M,544
O60503,Cell.membrane,M,1353
P15116,Cell.membrane,M,906
P51830,Cell.membrane,M,1353
P20789,Cell.membrane,M,424
P53987,Cell.membrane,M,494
P53986,Cell.membrane,M,493
O88917,Cell.membrane,M,1515
Q06451,Cell.membrane,M,622
O88713,Cell.membrane,M,188
C0LGL9,Cell.membrane,M,589
Q495A1,Cell.membrane,M,244
Q91ZE5,Cell.membrane,M,689
Q8K3P1,Cell.membrane,M,485
Q9FKP4,Cell.membrane,M,1264
C0LGD7,Cell.membrane,M,953
O44616,Cell.membrane,M,516
Q23022,Cell.membrane,M,511
P08069,Cell.membrane,M,1367
Q8SWR3,Cell.membrane,M,435
Q6AWJ9,Cell.membrane,M,1033
Q3EB59,Cell.membrane,M,212
P42866,Cell.membrane,M,398
P08220,Cell.membrane,M,474
Q7M730,Cell.membrane,M,228
Q8VZG8,Cell.membrane,M,1045
B1B212,Cell.membrane,M,251
O81775,Cell.membrane,M,158
Q99N50-11,Cell.membrane,M,894
Q9Y6J6,Cell.membrane,M,123
Q9NZD1,Cell.membrane,M,345
Q80WK2,Cell.membrane,M,128
P10040,Cell.membrane,M,2146
P22460,Cell.membrane,M,613
Q80T22,Cell.membrane,M,484
P97438-2,Cell.membrane,M,411
Q9V5N8,Cell.membrane,M,3579
Q9R1N9,Cell.membrane,M,751
P16234,Cell.membrane,M,1089
P37023,Cell.membrane,M,503
O04714,Cell.membrane,M,326
Q75HB1,Cell.membrane,M,374
P28222,Cell.membrane,M,390
F4K4R6,Cell.membrane,M,914
P30606,Cell.membrane,M,609
D2XNR1,Cell.membrane,M,475
P23975,Cell.membrane,M,617
Q68D85,Cell.membrane,M,454
Q86UN2,Cell.membrane,M,441
Q6VV64,Cell.membrane,M,394
Q2M3G0,Cell.membrane,M,1257
Q8LCS8,Cell.membrane,M,124
Q13733,Cell.membrane,M,1029
Q9LZH5,Cell.membrane,M,193
Q08905,Cell.membrane,M,711
Q06611,Cell.membrane,M,286
Q9SSL9,Cell.membrane,M,1123
Q0VGW6,Cell.membrane,M,899
Q9XF58,Cell.membrane,M,285
C0LGH2,Cell.membrane,M,1032
Q9BYW1,Cell.membrane,M,496
P41809,Cell.membrane,M,1802
Q8IWT1,Cell.membrane,M,228
Q8TDN1,Cell.membrane,M,519
P04001,Cell.membrane,M,364
Q9HBL7,Cell.membrane,M,147
Q9UGH3,Cell.membrane,M,650
P52569,Cell.membrane,M,658
Q8K299,Cell.membrane,M,491
P15384,Cell.membrane,M,525
P54867,Cell.membrane,M,378
Q9PVZ4,Cell.membrane,M,1362
P0CC10,Cell.membrane,M,709
P53955,Cell.membrane,M,656
Q9JI58,Cell.membrane,M,249
Q6ZTQ4,Cell.membrane,M,885
P25105,Cell.membrane,M,342
A1A5B4,Cell.membrane,M,782
P41145,Cell.membrane,M,380
Q8IU80,Cell.membrane,M,811
Q9LV48,Cell.membrane,M,652
O00270,Cell.membrane,M,319
Q9D103,Cell.membrane,M,106
Q86V24,Cell.membrane,M,386
Q8IZP1,Cell.membrane,M,549
Q99250,Cell.membrane,M,2005
Q9NYB5,Cell.membrane,M,712
Q8IZP9,Cell.membrane,M,1017
A8IJF8,Cell.membrane,M,881
Q9VJ83,Cell.membrane,M,241
Q9ZSA2,Cell.membrane,M,531
P69744,Cell.membrane,M,723
Q12691,Cell.membrane,M,1091
Q8GXN2,Cell.membrane,M,589
Q9JHL0,Cell.membrane,M,203
Q9SKB2,Cell.membrane,M,641
P92949,Cell.membrane,M,725
O88667,Cell.membrane,M,308
Q9GZC8,Cell.membrane,M,776
P30939,Cell.membrane,M,366
P08913,Cell.membrane,M,450
Q8R4F1,Cell.membrane,M,589
Q8VZQ5,Cell.membrane,M,539
C0HJJ0,Cell.membrane,M,69
P41930,Cell.membrane,M,458
Q9JIL4,Cell.membrane,M,519
P82251,Cell.membrane,M,487
P29972,Cell.membrane,M,269
P82252,Cell.membrane,M,487
Q0WPE9,Cell.membrane,M,538
O88689,Cell.membrane,M,947
P52803,Cell.membrane,M,228
P31390,Cell.membrane,M,486
Q93VD3,Cell.membrane,M,482
Q9Z1A5,Cell.membrane,M,534
Q9LTB8,Cell.membrane,M,213
Q9Y2T6,Cell.membrane,M,319
Q8L7S6,Cell.membrane,M,535
Q84JQ4,Cell.membrane,M,647
O49545,Cell.membrane,M,1003
Q8IWB1,Cell.membrane,M,547
S4X0Q8,Cell.membrane,M,1346
Q6Q629,Cell.membrane,M,796
A6BM72,Cell.membrane,M,1044
Q9EQF4,Cell.membrane,M,244
O00478,Cell.membrane,M,584
Q90674,Cell.membrane,M,728
Q9S7I6,Cell.membrane,M,1151
Q9SN38,Cell.membrane,M,431
Q9UM01,Cell.membrane,M,511
P22723,Cell.membrane,M,474
P49682-2,Cell.membrane,M,415
O35158,Cell.membrane,M,1256
Q9FMX3,Cell.membrane,M,514
Q9FMF5,Cell.membrane,M,746
Q8T5S1,Cell.membrane,M,644
Q9DF69,Cell.membrane,M,594
Q801D8,Cell.membrane,M,352
P32300,Cell.membrane,M,372
Q61006,Cell.membrane,M,868
Q9ZNQ8,Cell.membrane,M,633
C0LGH3,Cell.membrane,M,1033
O23492,Cell.membrane,M,582
Q93ZS4,Cell.membrane,M,632
Q61003,Cell.membrane,M,665
Q9NQA5,Cell.membrane,M,729
G5EBR8,Cell.membrane,M,247
C0LGF4,Cell.membrane,M,591
Q6ZG85,Cell.membrane,M,545
P46408,Cell.membrane,M,486
Q9LV10,Cell.membrane,M,616
P40879,Cell.membrane,M,764
Q17328,Cell.membrane,M,434
P28221,Cell.membrane,M,377
Q9UGM1,Cell.membrane,M,479
Q80YF9,Cell.membrane,M,1305
Q9LY03,Cell.membrane,M,964
O17386,Cell.membrane,M,458
P38925,Cell.membrane,M,575
P38928,Cell.membrane,M,823
Q96L08,Cell.membrane,M,255
P36898,Cell.membrane,M,502
Q9UIA0,Cell.membrane,M,394
Q9ZPR4,Cell.membrane,M,421
Q6UVW9,Cell.membrane,M,174
P40485,Cell.membrane,M,686
Q9SUP0,Cell.membrane,M,197
P10823,Cell.membrane,M,449
O70507,Cell.membrane,M,1186
Q925H0,Cell.membrane,M,512
Q96A54,Cell.membrane,M,375
Q9NY37,Cell.membrane,M,505
Q8IWE4,Cell.membrane,M,304
Q8H8V7,Cell.membrane,M,787
Q9SX98,Cell.membrane,M,519
Q6ZSM3,Cell.membrane,M,486
P35735,Cell.membrane,M,353
P63212,Cell.membrane,M,71
P14416,Cell.membrane,M,443
Q9H7M9,Cell.membrane,M,311
Q944G5,Cell.membrane,M,636
O49660,Cell.membrane,M,491
Q9EPZ7,Cell.membrane,M,716
Q13564,Cell.membrane,M,534
Q864R9,Cell.membrane,M,1531
Q62875,Cell.membrane,M,248
Q9FE29,Cell.membrane,M,193
O04532,Cell.membrane,M,760
Q9BXB1,Cell.membrane,M,951
Q9C888,Cell.membrane,M,762
Q9JLB9,Cell.membrane,M,549
Q6L8G0,Cell.membrane,M,353
Q6QLQ4,Cell.membrane,M,244
P43657,Cell.membrane,M,344
P34886,Cell.membrane,M,724
Q9SIA5,Cell.membrane,M,476
Q9VVX3,Cell.membrane,M,694
P35499,Cell.membrane,M,1836
P35498,Cell.membrane,M,2009
Q9Y6Q6-6,Cell.membrane,M,602
Q8VZ80,Cell.membrane,M,539
Q5M8M9,Cell.membrane,M,314
Q05062,Cell.membrane,M,191
O14649,Cell.membrane,M,394
O75762,Cell.membrane,M,1119
Q8NFP4,Cell.membrane,M,955
Q9XEC6,Cell.membrane,M,658
O35464,Cell.membrane,M,1031
Q9SAH8,Cell.membrane,M,532
P18064,Cell.membrane,M,383
Q7XJR9,Cell.membrane,M,571
Q5AMJ5,Cell.membrane,M,139
P15379,Cell.membrane,M,778
Q9FJG1,Cell.membrane,M,90
Q9H1D0,Cell.membrane,M,765
P26433,Cell.membrane,M,831
Q5TAT6,Cell.membrane,M,717
Q07307,Cell.membrane,M,574
Q91WD2,Cell.membrane,M,767
Q9ZRF9,Cell.membrane,M,540
Q6YXX9,Cell.membrane,M,150
Q91XT9,Cell.membrane,M,761
G5EBL2,Cell.membrane,M,966
Q5XF51,Cell.membrane,M,384
Q8N9M5,Cell.membrane,M,508
Q2HXU8,Cell.membrane,M,276
Q96P31,Cell.membrane,M,734
P42893,Cell.membrane,M,762
P54003,Cell.membrane,M,302
A9ZSY2,Cell.membrane,M,502
Q8NBS3,Cell.membrane,M,891
Q96RD9,Cell.membrane,M,977
P06731,Cell.membrane,M,702
P53985,Cell.membrane,M,500
Q08ET2,Cell.membrane,M,396
Q5ABU7,Cell.membrane,M,564
Q9UBD6,Cell.membrane,M,479
P15431,Cell.membrane,M,474
J9VXM5,Cell.membrane,M,1421
P50993,Cell.membrane,M,1020
Q9SKN3,Cell.membrane,M,179
P55808,Cell.membrane,M,180
Q8H8C7,Cell.membrane,M,356
Q03064,Cell.membrane,M,494
O00934,Cell.membrane,M,831
Q810Y4,Cell.membrane,M,532
Q9XUB9,Cell.membrane,M,634
P10870,Cell.membrane,M,884
P51170,Cell.membrane,M,649
Q6L8G1,Cell.membrane,M,370
Q9FFW5,Cell.membrane,M,681
Q8CG09,Cell.membrane,M,1532
O81016,Cell.membrane,M,1420
O54728,Cell.membrane,M,1450
Q24418,Cell.membrane,M,997
P55926,Cell.membrane,M,526
P19440,Cell.membrane,M,569
P35367,Cell.membrane,M,487
C0LGK4,Cell.membrane,M,915
Q08245,Cell.membrane,M,113
Q75KU4,Cell.membrane,M,210
Q8VDZ4,Cell.membrane,M,715
Q94JG1,Cell.membrane,M,516
Q8CJ11,Cell.membrane,M,1013
Q8CJ12,Cell.membrane,M,1009
Q4W815,Cell.membrane,M,525
Q5DTY9,Cell.membrane,M,427
P30940,Cell.membrane,M,366
P26718,Cell.membrane,M,216
Q14003,Cell.membrane,M,757
P26432,Cell.membrane,M,832
Q75N73,Cell.membrane,M,489
Q9HCJ2,Cell.membrane,M,640
P36033,Cell.membrane,M,711
D3ZB51,Cell.membrane,M,1328
Q61735,Cell.membrane,M,303
Q8CFE6,Cell.membrane,M,504
Q9M390,Cell.membrane,M,570
O76554,Cell.membrane,M,548
Q92887,Cell.membrane,M,1545
Q94CE4,Cell.membrane,M,280
Q9MZS1,Cell.membrane,M,822
Q76LB1,Cell.membrane,M,459
P14384,Cell.membrane,M,443
P17659,Cell.membrane,M,530
P17658,Cell.membrane,M,529
Q9Y6X5,Cell.membrane,M,453
Q02284,Cell.membrane,M,366
Q86YR6,Cell.membrane,M,584
Q60484,Cell.membrane,M,376
O00421,Cell.membrane,M,344
Q96PJ5,Cell.membrane,M,515
F1MH24,Cell.membrane,M,957
Q7TSN2,Cell.membrane,M,230
Q2TAD5,Cell.membrane,M,363
Q9FKS8,Cell.membrane,M,446
P63094,Cell.membrane,M,394
Q30201,Cell.membrane,M,348
Q3U497,Cell.membrane,M,209
Q9LFX9,Cell.membrane,M,576
P51143,Cell.membrane,M,615
Q9LVN2,Cell.membrane,M,785
Q9ASS4,Cell.membrane,M,620
P93788,Cell.membrane,M,198
Q9MA83,Cell.membrane,M,786
P32246,Cell.membrane,M,355
P32249,Cell.membrane,M,361
Q801G2,Cell.membrane,M,354
Q0WYX8,Cell.membrane,M,949
Q9SMM5,Cell.membrane,M,289
Q1JV40,Cell.membrane,M,342
O35316,Cell.membrane,M,621
Q8QGH3,Cell.membrane,M,798
P0C5E2-2,Cell.membrane,M,648
Q9P1Z3,Cell.membrane,M,774
A6NFQ2-2,Cell.membrane,M,845
A1Z8N1,Cell.membrane,M,857
Q8GWW6,Cell.membrane,M,342
B1B213,Cell.membrane,M,197
G5EDW2,Cell.membrane,M,1014
Q7TSP5,Cell.membrane,M,283
Q9LJF3,Cell.membrane,M,1164
Q9XF59,Cell.membrane,M,289
Q9C8K2,Cell.membrane,M,687
P53885,Cell.membrane,M,366
Q9SWI1,Cell.membrane,M,439
Q0GA42,Cell.membrane,M,951
Q9EPU5,Cell.membrane,M,655
Q9R0W5,Cell.membrane,M,495
Q39033,Cell.membrane,M,581
E9PZ19,Cell.membrane,M,1328
P63137,Cell.membrane,M,512
O88575,Cell.membrane,M,635
Q6L568,Cell.membrane,M,237
Q9CAX3,Cell.membrane,M,204
Q9FG74,Cell.membrane,M,498
Q8N6Q3,Cell.membrane,M,437
Q9NRM0-2,Cell.membrane,M,511
P50077,Cell.membrane,M,2039
Q1XA76,Cell.membrane,M,527
O48682,Cell.membrane,M,763
Q7Z6M3,Cell.membrane,M,343
P25621,Cell.membrane,M,512
Q9C5Y0,Cell.membrane,M,868
Q9JHZ9,Cell.membrane,M,504
Q8TEZ7,Cell.membrane,M,354
Q9SFB0,Cell.membrane,M,526
P35462,Cell.membrane,M,400
Q6PE84,Cell.membrane,M,287
Q6PI78,Cell.membrane,M,240
O75509,Cell.membrane,M,655
Q3E8W4,Cell.membrane,M,858
Q8LPL2,Cell.membrane,M,591
P20353,Cell.membrane,M,355
Q8VIM4,Cell.membrane,M,307
Q9S7Z8,Cell.membrane,M,640
Q01896,Cell.membrane,M,1091
C0LGP9,Cell.membrane,M,784
Q7M750,Cell.membrane,M,143
O60741,Cell.membrane,M,890
Q8MPP3,Cell.membrane,M,758
P47871,Cell.membrane,M,477
P13587,Cell.membrane,M,1091
Q9D856,Cell.membrane,M,535
Q9FII5,Cell.membrane,M,1041
Q12252,Cell.membrane,M,991
O13928,Cell.membrane,M,205
P23977,Cell.membrane,M,619
Q9NW15,Cell.membrane,M,660
Q8NAC3,Cell.membrane,M,791
Q8BNX7,Cell.membrane,M,165
P22732,Cell.membrane,M,501
P19156,Cell.membrane,M,1034
Q63803,Cell.membrane,M,1144
P48181,Cell.membrane,M,493
P48180,Cell.membrane,M,498
Q99PI8,Cell.membrane,M,473
P13164,Cell.membrane,M,125
Q9VVT2,Cell.membrane,M,590
G3V8V5,Cell.membrane,M,397
P53226,Cell.membrane,M,547
Q9SQU2,Cell.membrane,M,199
C0LGS2,Cell.membrane,M,1136
Q9UBL9,Cell.membrane,M,471
O23413,Cell.membrane,M,190
Q9GZY6,Cell.membrane,M,243
O64825,Cell.membrane,M,612
Q12466,Cell.membrane,M,1186
Q5SSG8,Cell.membrane,M,566
P59889,Cell.membrane,M,302
Q8JZW5,Cell.membrane,M,345
Q99P47,Cell.membrane,M,1310
Q91Y77,Cell.membrane,M,514
P51681,Cell.membrane,M,352
Q8IWV1,Cell.membrane,M,398
Q924B5,Cell.membrane,M,250
P25122,Cell.membrane,M,585
Q9LU77,Cell.membrane,M,647
Q9ERB5,Cell.membrane,M,715
Q96IZ2,Cell.membrane,M,230
O08604,Cell.membrane,M,253
B9DFG5,Cell.membrane,M,408
Q03193,Cell.membrane,M,310
P31649,Cell.membrane,M,602
P08909,Cell.membrane,M,460
P08908,Cell.membrane,M,422
Q75WU1,Cell.membrane,M,93
P31646,Cell.membrane,M,602
Q07436,Cell.membrane,M,1427
O22920,Cell.membrane,M,831
Q925P2,Cell.membrane,M,520
P54657,Cell.membrane,M,213
Q9SXB8,Cell.membrane,M,842
Q07651,Cell.membrane,M,309
Q9VWS4,Cell.membrane,M,343
D7SFH9,Cell.membrane,M,1118
P34082-2,Cell.membrane,M,811
G3UVW3,Cell.membrane,M,457
Q9LSI9,Cell.membrane,M,605
Q64264,Cell.membrane,M,421
O43561,Cell.membrane,M,262
Q94EE4,Cell.membrane,M,161
Q9LX66,Cell.membrane,M,830
P09483,Cell.membrane,M,630
P32791,Cell.membrane,M,686
Q60943,Cell.membrane,M,864
Q8VYM2,Cell.membrane,M,524
Q13319,Cell.membrane,M,367
Q9FKW4,Cell.membrane,M,523
Q45R42,Cell.membrane,M,652
Q5GH77,Cell.membrane,M,459
Q18297,Cell.membrane,M,1211
Q9ZUJ5,Cell.membrane,M,360
P50638,Cell.membrane,M,598
Q9M9V7,Cell.membrane,M,587
P38250,Cell.membrane,M,946
Q8R183,Cell.membrane,M,305
P90920,Cell.membrane,M,961
Q9LKW9,Cell.membrane,M,1146
C4QM85,Cell.membrane,M,419
Q5A4M8,Cell.membrane,M,270
O82587,Cell.membrane,M,285
P0C5X8,Cell.membrane,M,450
Q9NSD5,Cell.membrane,M,602
O88420,Cell.membrane,M,1978
P33766,Cell.membrane,M,364
Q401N2,Cell.membrane,M,412
P28334,Cell.membrane,M,386
P28335,Cell.membrane,M,458
P23291,Cell.membrane,M,538
P23292,Cell.membrane,M,546
P58418,Cell.membrane,M,232
Q86LG1,Cell.membrane,M,606
Q07800,Cell.membrane,M,427
P48764,Cell.membrane,M,834
O14804,Cell.membrane,M,337
Q8H1G6,Cell.membrane,M,361
Q9SYK0,Cell.membrane,M,580
B5X0E4,Cell.membrane,M,1255
Q9NY25,Cell.membrane,M,188
Q6PP77,Cell.membrane,M,449
Q9ZPS9,Cell.membrane,M,1143
P18581,Cell.membrane,M,657
P54144,Cell.membrane,M,501
Q06991,Cell.membrane,M,263
P30639,Cell.membrane,M,599
P11169,Cell.membrane,M,496
P63161,Cell.membrane,M,123
Q9LK35,Cell.membrane,M,855
Q91VH1,Cell.membrane,M,375
Q12489,Cell.membrane,M,107
Q8TF71,Cell.membrane,M,515
P08510,Cell.membrane,M,655
Q9MAB9,Cell.membrane,M,117
P49145,Cell.membrane,M,377
Q6YHK3,Cell.membrane,M,1445
Q9NWF4,Cell.membrane,M,448
P43298,Cell.membrane,M,942
Q6PHW0,Cell.membrane,M,289
P40528,Cell.membrane,M,902
P53217,Cell.membrane,M,278
P15530,Cell.membrane,M,228
Q9JM15,Cell.membrane,M,485
Q9N2J4,Cell.membrane,M,271
O14654,Cell.membrane,M,1257
Q9QUK6,Cell.membrane,M,835
O04034,Cell.membrane,M,546
Q9QXP0,Cell.membrane,M,498
